msg_id,repeat_ind,mmsi,nav_status,rot,sog,pos_accu,lon,lat,cog,heading,utc_s,special_man,raim,sync_state,slot_timeout,utc_h,utc_m,timestamp
1,0,231836000,0,2.187374115,18.79999924,TRUE,11.4442317,57.4105967,159.5,160,7,0,FALSE,,3,,,2021-11-22T00:27:10Z
1,0,231836000,0,-1.116007209,18.79999924,TRUE,11.4474917,57.4056967,160.6999969,160,7,0,FALSE,,3,,,2021-11-22T00:28:10Z
1,0,231836000,0,0,18.79999924,TRUE,11.4507767,57.4007983,159.6000061,159,7,0,FALSE,,3,,,2021-11-22T00:29:10Z
3,0,231836000,0,0,18.79999924,TRUE,11.45414,57.3959033,160,160,7,0,FALSE,,,,,2021-11-22T00:30:10Z
1,0,231836000,0,2.187374115,18.79999924,TRUE,11.4574567,57.3910217,159.5,160,8,0,FALSE,,3,,,2021-11-22T00:31:10Z
1,0,231836000,0,-1.116007209,18.79999924,TRUE,11.4606767,57.386005,161.6000061,161,9,0,FALSE,,3,,,2021-11-22T00:32:10Z
1,0,259222000,0,-1.116007209,20.5,TRUE,11.4800017,57.3932833,342.7999878,343,55,0,FALSE,,3,,,2021-11-22T00:32:55Z
3,0,259222000,0,-1.116007209,20.5,TRUE,11.4769167,57.3987417,343.1000061,343,55,0,FALSE,,,,,2021-11-22T00:33:55Z
1,0,259222000,0,2.187374115,20.5,TRUE,11.473855,57.4042017,343.6000061,344,55,0,FALSE,,3,,,2021-11-22T00:34:55Z
1,0,259222000,0,-1.116007209,20.60000038,TRUE,11.4710033,57.4096017,344.3999939,344,54,0,FALSE,,3,,,2021-11-22T00:35:55Z
1,0,256656000,0,0,11.80000019,FALSE,11.4261433,57.4130267,160.1999969,161,51,0,FALSE,,3,,,2021-11-22T01:20:53Z
1,0,256656000,0,0,11.80000019,FALSE,11.428135,57.4099433,159.5,159,51,0,FALSE,,3,,,2021-11-22T01:21:53Z
1,0,256656000,0,0,11.80000019,FALSE,11.4304667,57.40685,157.5,158,52,0,FALSE,,3,,,2021-11-22T01:22:54Z
1,0,256656000,0,0,11.80000019,FALSE,11.432685,57.403795,158.6999969,159,52,0,FALSE,,3,,,2021-11-22T01:23:54Z
1,0,256656000,0,0,11.89999962,FALSE,11.434835,57.4007133,161.3000031,163,52,0,FALSE,,3,,,2021-11-22T01:24:54Z
1,0,256656000,0,0,11.89999962,FALSE,11.4366983,57.39759,160.8999939,160,52,0,FALSE,,3,,,2021-11-22T01:25:54Z
