msg_id,repeat_ind,mmsi,nav_status,rot,sog,pos_accu,lon,lat,cog,heading,utc_s,special_man,raim,sync_state,slot_timeout,utc_h,utc_m,timestamp
1,0,231836000,0,2.1873741149902344,18.799999237060547,True,11.4442317,57.4105967,159.5,160.0,7,0,False,,3.0,,,2021-11-22T00:27:10Z
1,0,231836000,0,-1.1160072088241577,18.799999237060547,True,11.4474917,57.4056967,160.6999969482422,160.0,7,0,False,,3.0,,,2021-11-22T00:28:10Z
1,0,231836000,0,0.0,18.799999237060547,True,11.4507767,57.4007983,159.60000610351562,159.0,7,0,False,,3.0,,,2021-11-22T00:29:10Z
3,0,231836000,0,0.0,18.799999237060547,True,11.45414,57.3959033,160.0,160.0,7,0,False,,,,,2021-11-22T00:30:10Z
1,0,231836000,0,2.1873741149902344,18.799999237060547,True,11.4574567,57.3910217,159.5,160.0,8,0,False,,3.0,,,2021-11-22T00:31:10Z
1,0,231836000,0,-1.1160072088241577,18.799999237060547,True,11.4606767,57.386005,161.60000610351562,161.0,9,0,False,,3.0,,,2021-11-22T00:32:10Z
1,0,259222000,0,-1.1160072088241577,20.5,True,11.4800017,57.3932833,342.79998779296875,343.0,55,0,False,,3.0,,,2021-11-22T00:32:55Z
3,0,259222000,0,-1.1160072088241577,20.5,True,11.4769167,57.3987417,343.1000061035156,343.0,55,0,False,,,,,2021-11-22T00:33:55Z
1,0,259222000,0,2.1873741149902344,20.5,True,11.473855,57.4042017,343.6000061035156,344.0,55,0,False,,3.0,,,2021-11-22T00:34:55Z
1,0,259222000,0,-1.1160072088241577,20.600000381469727,True,11.4710033,57.4096017,344.3999938964844,344.0,54,0,False,,3.0,,,2021-11-22T00:35:55Z
1,0,256656000,0,0.0,11.800000190734863,False,11.4261433,57.4130267,160.1999969482422,161.0,51,0,False,,3.0,,,2021-11-22T01:20:53Z
1,0,256656000,0,0.0,11.800000190734863,False,11.428135,57.4099433,159.5,159.0,51,0,False,,3.0,,,2021-11-22T01:21:53Z
1,0,256656000,0,0.0,11.800000190734863,False,11.4304667,57.40685,157.5,158.0,52,0,False,,3.0,,,2021-11-22T01:22:54Z
1,0,256656000,0,0.0,11.800000190734863,False,11.432685,57.403795,158.6999969482422,159.0,52,0,False,,3.0,,,2021-11-22T01:23:54Z
1,0,256656000,0,0.0,11.899999618530273,False,11.434835,57.4007133,161.3000030517578,163.0,52,0,False,,3.0,,,2021-11-22T01:24:54Z
